idx,mean,stdev,skew,kurtosis,zcr_mean,zcr_stdev,rmse_mean,rmse_stdev,tempo,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_stdev,mfccs_2_stdev,mfccs_3_stdev,mfccs_4_stdev,mfccs_5_stdev,mfccs_6_stdev,mfccs_7_stdev,mfccs_8_stdev,mfccs_9_stdev,mfccs_10_stdev,mfccs_11_stdev,mfccs_12_stdev,mfccs_13_stdev,mfccs_14_stdev,mfccs_15_stdev,mfccs_16_stdev,mfccs_17_stdev,mfccs_18_stdev,mfccs_19_stdev,mfccs_20_stdev,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_stdev,chroma_2_stdev,chroma_3_stdev,chroma_4_stdev,chroma_5_stdev,chroma_6_stdev,chroma_7_stdev,chroma_8_stdev,chroma_9_stdev,chroma_10_stdev,chroma_11_stdev,chroma_12_stdev,centroid_mean,centroid_stdev,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,contrast_7_mean,contrast_1_std,contrast_2_std,contrast_3_std,contrast_4_std,contrast_5_std,contrast_6_std,contrast_7_std,rolloff_mean,rolloff_stdev,genre
1,0.10329606,0.14068843,1.610171914100647,1.580551653345628,0.08307352088167054,0.02770703044686401,0.13022773,0.13022773,123.046875,-113.57065,121.57179,-19.168142,42.36642,-6.364664,18.623499,-13.704889,15.34315,-12.27411,10.976572,-8.326573,8.803792,-3.6723,5.747995,-5.162882,0.75273985,-1.6902146,-0.40897903,-2.3035226,1.2212901,50.638004,17.202147,15.348434,12.292554,12.958966,9.443561,8.2256,8.302565,9.066653,7.961552,7.859586,7.1585,6.420079,6.36824,7.05517,7.2402287,6.0435147,6.4495816,7.4204397,6.8509874,0.35880038,0.36072442,0.43639764,0.24560358,0.24416296,0.33386773,0.36555386,0.43490648,0.29470173,0.31162456,0.4044345,0.38348755,0.32468185,0.28135788,0.31491694,0.21477894,0.25140262,0.28910303,0.28251174,0.3442515,0.2509695,0.27790087,0.33059064,0.29317024,1762.299296635878,357.308438366692,15.98797329208551,15.107259666714535,18.45672109417581,18.36906816944628,18.922360320653084,17.196203788134838,39.64730452238014,4.340766083017779,4.1908296144979955,4.619709669568404,3.6304766757403337,3.490789226327763,2.534598212818179,3.0791994616635985,3776.112794101653,947.0688318095973,blues
10,0.11412988,0.17205933,1.9813518524169922,3.3185397366905596,0.06297997329369683,0.02101350437102556,0.14286524,0.14286524,161.4990234375,-173.7925,137.1867,-23.724049,26.978432,-16.657696,4.1808825,-12.55993,5.8321843,-2.8743188,-1.1974192,-1.9548353,1.8015007,-2.9896476,-1.8666562,-0.7927429,-3.015967,-0.44005355,-1.9945513,-0.7484699,-4.991314,90.244774,32.919453,32.072903,22.260912,17.024294,12.675123,12.260802,9.083901,10.42153,8.110623,7.459939,7.610462,9.690915,6.334171,7.05151,7.9416113,7.5546885,7.460461,6.8688054,6.825728,0.46050727,0.16906357,0.19082113,0.37801445,0.3537551,0.457865,0.2736821,0.31931704,0.18612391,0.20391256,0.32265994,0.31468603,0.37846166,0.1896872,0.19047315,0.36328706,0.27537805,0.4178103,0.25035033,0.30359614,0.22348928,0.23641469,0.30685398,0.26405415,1371.9266295345783,450.7889499909235,16.16823436836427,16.38358603317877,21.302014782228817,21.61027174700142,18.687747121836978,17.776089733542534,35.73477381586789,5.308976647053532,5.439547521145846,6.312215789232438,5.72029627111295,4.880071811586636,3.515730571153227,5.499261488744098,2708.2291251268853,1189.5552069917603,blues
11,0.053995606,0.0826061,1.9514964818954468,3.403287809255377,0.043818427349187936,0.04337970373381894,0.06574085,0.06574085,161.4990234375,-287.92374,124.01875,5.469892,33.65741,1.0954971,14.705335,-4.8770084,8.670525,0.7854052,6.579526,-4.874974,-3.1782238,-5.5361576,-6.7844357,-2.6481562,-2.9945593,-3.3868182,-1.8526473,1.8399631,-4.8908033,77.01606,31.561846,17.384155,18.563946,21.008326,15.342174,12.236185,13.761732,12.195489,10.689367,9.683991,9.174758,8.123793,7.7926507,7.444849,7.387612,6.3119445,6.8373756,6.0882254,5.30558,0.25921354,0.22496559,0.29599267,0.39611873,0.64623123,0.5682073,0.36203563,0.3507308,0.34652233,0.352702,0.27707824,0.3212434,0.27946368,0.21184106,0.23970592,0.2763163,0.3686801,0.35677,0.25658694,0.30078742,0.30490494,0.31824175,0.2713058,0.3353698,1238.8581418487781,655.7980032500135,27.4906703286864,16.88438833130302,17.707932989089084,17.878028300906944,17.407261732354076,16.103935946020552,32.172887858874724,5.850523000358956,4.814909148125597,4.66641218957625,3.850622807858189,3.190649260006694,2.495876995982554,5.032131708491065,2685.080515425609,1677.267707415184,blues
12,0.095851466,0.13500276,1.7144192457199097,2.01403491436865,0.06909765020784996,0.04876029074306607,0.119046025,0.119046025,92.28515625,-207.22331,132.83055,-15.4288435,60.970924,0.729872,12.437647,1.1827995,-1.5466231,-17.879436,8.352729,-2.458161,-0.6033848,0.38596085,2.5995464,-5.1792665,-9.523479,-9.242837,-2.8550274,-1.4271619,-5.931978,67.64231,25.812592,30.574905,18.2066,17.69982,10.063923,10.420071,10.558434,9.8281555,9.749964,11.816789,9.632372,9.29918,7.3294854,6.77088,8.3228035,7.9823203,8.294261,10.593351,9.562373,0.32486823,0.16006047,0.21506487,0.2031626,0.19391492,0.2616369,0.30842578,0.1592002,0.17894806,0.2080631,0.3485452,0.6517118,0.23844504,0.21087153,0.30218795,0.26059508,0.2831987,0.30169234,0.33311993,0.1963181,0.23824948,0.25608447,0.22851466,0.3976713,1329.718046332311,503.1977170287443,16.910175165201874,18.8961732141291,21.02501307419157,20.104928433703527,21.650080889091083,22.82010811360524,33.5435315526239,4.797200035015643,5.083502434498303,4.877723815948092,4.872538997550934,4.386308957370833,4.056476360774566,3.4506022596015438,2695.172643108324,992.9212505959694,blues
13,0.053425375,0.084943764,2.7553510665893555,6.819515412233741,0.04506273262277649,0.03945425105949488,0.06705369,0.06705369,151.99908088235293,-305.65472,113.08634,12.114428,45.033703,17.762825,14.573329,4.1594296,0.21354488,-7.0269957,13.641991,8.929174,1.3030063,5.961251,8.549222,1.1246065,0.60269326,0.054863006,-3.722265,-0.9949694,-1.8002892,90.5218,26.138405,38.241657,14.998191,15.815625,12.445673,12.538886,12.932444,9.881696,8.764519,9.4802065,7.925178,8.021208,8.719263,11.708014,8.231289,9.832018,8.108337,9.452649,10.654602,0.29447052,0.31438255,0.29141888,0.23617595,0.29214233,0.3115302,0.2341947,0.2334786,0.2837024,0.3789527,0.62146413,0.43337566,0.3226829,0.33430877,0.31146485,0.27083552,0.3048098,0.31868306,0.24866542,0.24622121,0.28408134,0.29141897,0.42119062,0.3335687,1108.9765390151108,390.2910255339616,17.683118755966298,19.68944937751168,23.641123829099485,19.52092029066449,20.4983873523927,19.461261088474778,30.90217435632437,4.345441898477636,5.283474062101612,5.914820102486034,5.602254592466488,5.316412339110575,5.242096823740527,3.0128335197959997,2132.378314874565,932.8661263939622,blues
14,0.06430869,0.096602015,2.482968807220459,5.19980083333321,0.06374921452049498,0.04405761769339945,0.08062382,0.08062382,99.38401442307692,-238.51553,120.110176,-4.2293587,42.290695,5.928563,13.917268,5.3578677,1.8955575,-16.936676,12.350621,3.9459798,-1.3935845,0.019285256,3.5883965,-4.50091,-5.540558,-6.8874693,-4.8232512,1.7473668,-1.8821969,66.17193,26.994486,31.28512,19.581049,17.28474,10.835855,10.93188,11.994847,9.478411,8.731713,9.034458,7.808889,7.7828746,9.456908,10.094043,8.798339,9.67114,8.106585,8.853833,11.451562,0.28026047,0.16285798,0.2429389,0.24348931,0.28055102,0.29483038,0.26550332,0.170086,0.18986452,0.2386048,0.33928886,0.5187975,0.2376073,0.20860876,0.3388598,0.2958903,0.34061655,0.331573,0.29525176,0.21224155,0.24223356,0.27360952,0.27101305,0.41142398,1367.2380102013674,444.1426672442111,16.860991255194634,18.576118702611296,20.968081496528036,19.744735346893272,20.29583668191956,20.030379937970178,33.097552886296626,4.615080936803961,4.474459872535582,5.387546393141896,5.16751013881198,4.410869947788185,4.177002848476337,2.785720085817522,2823.5724854082077,817.5632975774831,blues
15,0.064557016,0.09632161,2.2406935691833496,4.024839584452825,0.06133839665506574,0.0376597511048571,0.081471406,0.081471406,103.359375,-233.7591,120.67514,-3.1748059,39.51848,3.8183367,18.837141,-3.6778173,4.4331384,-14.965527,17.578217,1.8418716,2.549422,-1.2331676,8.439486,-0.20189792,-3.8945017,-4.45685,0.009554031,1.2930309,-2.098082,70.44913,23.70846,34.750916,19.916561,16.894272,12.496352,10.025063,10.556053,10.076903,10.109932,10.422111,8.154435,8.064505,8.058229,7.694779,8.8298645,9.106883,9.270541,9.141526,10.04361,0.23642199,0.17323114,0.14640664,0.24682245,0.40862155,0.25575817,0.25730085,0.34173766,0.4918705,0.5639293,0.29191902,0.24609366,0.29100043,0.22629723,0.19940299,0.25462964,0.3579039,0.2574179,0.2802983,0.31607014,0.32976618,0.39595675,0.24436183,0.28108385,1403.2365848696813,385.34320960321674,16.850368119673274,17.978502511010053,21.060225319658564,18.758213764108437,20.28036080032338,18.609202001670354,33.92440682172806,4.635795905820363,4.552279408261127,5.3182464104822245,5.260056559522482,4.603638117486997,4.555835176419443,2.4165229471937777,2893.068275540168,954.7624783341696,blues
16,0.07380635,0.10421301,2.0292489528656006,2.91265878348025,0.04832436074052591,0.02905529979520629,0.09330598,0.09330598,161.4990234375,-245.69937,140.49109,-2.7897542,60.431435,18.91905,9.829609,3.5591462,0.5153716,-16.387682,6.627509,7.2592144,-4.014427,1.6021209,5.8950095,-3.0214696,-4.773669,-3.0309892,-1.9940876,-0.046753637,-3.9712281,72.07567,28.289751,28.225304,18.977009,15.351659,9.9832115,10.88925,9.66697,11.369859,10.259081,9.838757,8.449102,8.542002,8.869517,7.4831176,7.6415844,8.106126,8.062859,7.933651,8.04483,0.3056082,0.20835444,0.15887266,0.15738021,0.3056899,0.25965956,0.25329015,0.310681,0.4131266,0.5787945,0.35469812,0.30977914,0.32901034,0.24289922,0.22545502,0.18566824,0.32298762,0.24584275,0.278339,0.28922743,0.28782535,0.3853176,0.23121777,0.31918982,1063.349426177746,480.03253209933087,15.960281945348134,18.990078468430664,22.652091584734475,19.94152419683263,21.311069990716643,21.701899862830242,31.50669920836914,4.712046452306119,4.744543035728411,5.001038534358999,4.77994849324283,4.460128527032032,3.627569660567173,4.032875843277558,2091.6267695946926,1053.9531847077958,blues
17,0.07692458,0.11006479,2.0489213466644287,3.106933457891807,0.05884374395784996,0.04238601170856027,0.097659424,0.097659424,123.046875,-236.65675,138.40926,-4.912911,47.629173,5.1842003,8.876615,0.5138148,-3.804674,-14.988871,10.4170685,-0.33363795,0.77598476,1.7773185,4.2329874,-0.46784157,-6.1052146,-5.3905187,-1.3412131,-3.723019,-4.364778,74.689445,23.159729,34.15938,17.673325,21.619827,9.577732,9.883771,12.624952,8.800748,10.233848,11.602417,8.9772835,8.8314705,8.583294,7.955842,8.983647,9.772029,9.62189,8.513931,8.178802,0.19696997,0.19266744,0.15812635,0.25592905,0.33850682,0.14633885,0.14019987,0.24662922,0.43971962,0.55347836,0.25239527,0.1768925,0.28699386,0.25165597,0.24462073,0.2908526,0.3661452,0.2093654,0.2161818,0.28811976,0.3074574,0.4159343,0.2253677,0.24119112,1164.7404504054437,499.05098621935053,16.5124948091348,18.332250948146335,22.74909078802888,19.263867534538832,20.71941215650931,20.68608904474209,32.140659211035526,5.071655927390834,5.182229961849619,4.830248082622551,4.436920318926961,4.402375079302276,3.6964049295466346,3.516625321862382,2183.0887584287993,1108.4588439377737,blues
18,0.05907762,0.09054865,2.8359532356262207,6.790700037133908,0.052642232211910285,0.024844427832374002,0.07547436,0.07547436,135.99917763157896,-230.35765,127.07833,7.123447,39.7749,1.9210495,17.41178,-5.619415,8.249393,-18.116888,13.835064,-3.769932,2.5720186,-4.3183455,6.8063755,-6.167102,-6.1987495,-4.5001836,-1.8223381,-0.5171001,1.5099173,54.66484,19.936005,24.535505,13.2510395,10.832584,10.009514,8.925698,8.323654,7.75901,8.537496,8.461594,8.639309,7.917558,7.8703346,7.7898417,7.0791626,7.2792306,8.572319,9.729692,8.589949,0.25997862,0.17193116,0.21827237,0.28125593,0.49537098,0.25902745,0.22027083,0.33265746,0.38446757,0.30436373,0.28060794,0.4177799,0.25264874,0.22702,0.2835947,0.25334752,0.39616245,0.23410733,0.24619079,0.31566027,0.34763908,0.30380866,0.25998172,0.35873967,1338.8699052987597,308.0766436356334,16.323166082770708,15.956922097846117,20.529496940428942,17.668673498838363,18.542917247431618,17.242299231441173,34.28791721357173,4.533489190709315,4.272781994472466,5.096078558270717,4.111575545536849,3.805672039430126,3.4071640174575406,2.0981595638132537,2882.1101567031615,915.7429271104936,blues
